Country,POP,Incomegroup,Gini
Czech Republic,10.31434,High income: OECD,18.5
Germany,78.958237,High income: OECD,18.5
Bulgaria,8.596962,Upper middle income,18.5
China,1227.841281,Upper middle income,18.5
Czechoslovakia,,,18.5
Pakistan,58.094239,Lower middle income,18.6
China,936.554514,Upper middle income,18.6
Australia,14.054956,High income: OECD,18.7
Czechoslovakia,,,18.7
Bulgaria,8.494765,Upper middle income,18.8
Czechoslovakia,,,18.8
Azerbaijan,8.371536,Upper middle income,18.81
Slovakia,5.31748,High income: OECD,18.9
Slovakia,5.31748,High income: OECD,18.9
Slovakia,5.31748,High income: OECD,18.9
Australia,14.532401,High income: OECD,19
Czech Republic,10.31378,High income: OECD,19
Czech Republic,10.323701,High income: OECD,19
Pakistan,52.205981,Lower middle income,19
China,1052.62241,Upper middle income,19
China,1071.834975,Upper middle income,19
Czechoslovakia,,,19
Poland,38.195258,High income: OECD,19.1
Sweden,8.31981,High income: OECD,19.1
Czechoslovakia,,,19.1
Slovakia,5.335292,High income: OECD,19.2
Bulgaria,8.54681,Upper middle income,19.2
Cyprus,0.59405,High income: non-OECD,19.3
Australia,14.211657,High income: OECD,19.4
Czech Republic,10.31378,High income: OECD,19.4
Slovakia,5.199318,High income: OECD,19.4
Slovakia,5.223222,High income: OECD,19.4
Sweden,8.310915,High income: OECD,19.4
Sweden,8.323466,High income: OECD,19.4
Sweden,8.326196,High income: OECD,19.4
Czechoslovakia,,,19.4
Czechoslovakia,,,19.4
Czechoslovakia,,,19.4
Slovakia,5.31748,High income: OECD,19.49
Slovakia,5.223222,High income: OECD,19.5
Czechoslovakia,,,19.5
Czechoslovakia,,,19.5
Slovakia,5.223222,High income: OECD,19.54
Slovakia,5.244662,High income: OECD,19.6
Slovakia,5.244662,High income: OECD,19.6
China,1247.259143,Upper middle income,19.6
Czechoslovakia,,,19.6
Czechoslovakia,,,19.6
Finland,4.937259,High income: OECD,19.7
Finland,5.034898,High income: OECD,19.7
Slovakia,5.335292,High income: OECD,19.7
Slovakia,5.384857,High income: OECD,19.7
Sweden,8.294832,High income: OECD,19.7
Sweden,8.31981,High income: OECD,19.7
Sweden,8.31981,High income: OECD,19.7
Czechoslovakia,,,19.7
Czechoslovakia,,,19.7
Czech Republic,10.3116,High income: OECD,19.8
Czech Republic,10.31378,High income: OECD,19.8
Czech Republic,10.31434,High income: OECD,19.8
Czech Republic,10.31434,High income: OECD,19.8
Germany,79.483739,High income: OECD,19.8
Sweden,8.326196,High income: OECD,19.8
Sweden,8.326196,High income: OECD,19.8
Czechoslovakia,,,19.8
Czechoslovakia,,,19.8
Czechoslovakia,,,19.8
Czechoslovakia,,,19.8
Czechoslovakia,,,19.8
Germany,77.221718,High income: OECD,19.9
Slovenia,1.94587,High income: OECD,19.9
Sweden,8.310915,High income: OECD,19.9
Sweden,8.323466,High income: OECD,19.9
Czechoslovakia,,,19.9
Denmark,5.113767,High income: OECD,20
Denmark,5.232582,High income: OECD,20
Denmark,5.276683,High income: OECD,20
Finland,4.902219,High income: OECD,20
Germany,80.07594,High income: OECD,20
Slovakia,5.244662,High income: OECD,20
Slovakia,5.244662,High income: OECD,20
Sweden,8.272499,High income: OECD,20
China,1092.646739,Upper middle income,20
Yugoslavia,,,20
Australia,14.708323,High income: OECD,20.1
Czech Republic,10.323701,High income: OECD,20.1
Denmark,5.113408,High income: OECD,20.1
Finland,5.009381,High income: OECD,20.1
Poland,36.517072,High income: OECD,20.1
Czechoslovakia,,,20.1
Finland,4.951886,High income: OECD,20.2
Finland,4.986705,High income: OECD,20.2
Slovakia,5.335292,High income: OECD,20.2
Sweden,8.272499,High income: OECD,20.2
Bulgaria,8.644419,Upper middle income,20.2
Bulgaria,8.688112,Upper middle income,20.2
China,1092.646739,Upper middle income,20.2
Australia,14.898019,High income: OECD,20.4
Czech Republic,10.31434,High income: OECD,20.4
Finland,4.967776,High income: OECD,20.4
Germany,78.366605,High income: OECD,20.4
Sweden,8.245975,High income: OECD,20.4
Sweden,8.333904,High income: OECD,20.4
Sweden,8.457108,High income: OECD,20.4
Romania,23.454143,Upper middle income,20.4
Denmark,5.115308,High income: OECD,20.5
Finland,4.800899,High income: OECD,20.5
Hungary,9.882,High income: OECD,20.5
Hungary,10.719749,High income: OECD,20.5
Hungary,10.370223,High income: OECD,20.5
Poland,38.094812,High income: OECD,20.5
Sweden,8.350814,High income: OECD,20.5
Sweden,8.413658,High income: OECD,20.5
Sri Lanka,12.487493,Lower middle income,20.5
Romania,23.454143,Upper middle income,20.5
Czechoslovakia,,,20.5
Czech Republic,10.33393,High income: OECD,20.6
Sweden,8.333904,High income: OECD,20.6
Czechoslovakia,,,20.6
Australia,15.101227,High income: OECD,20.7
Australia,15.548591,High income: OECD,20.7
Australia,15.791043,High income: OECD,20.7
Finland,4.937259,High income: OECD,20.7
Hungary,10.759022,High income: OECD,20.7
Poland,38.094812,High income: OECD,20.7
Sweden,8.350814,High income: OECD,20.7
Pakistan,55.067366,Lower middle income,20.7
Bulgaria,8.878348,Upper middle income,20.7
Czechoslovakia,,,20.7
Czech Republic,10.33393,High income: OECD,20.8
Pakistan,56.559367,Lower middle income,20.8
Bulgaria,8.943721,Upper middle income,20.8
Australia,13.7254,High income: OECD,20.9
Denmark,5.116351,High income: OECD,20.9
Finland,4.921293,High income: OECD,20.9
Finland,5.009381,High income: OECD,20.9
Finland,5.061465,High income: OECD,20.9
Finland,5.086499,High income: OECD,20.9
Hungary,10.124,High income: OECD,20.9
Hungary,10.719749,High income: OECD,20.9
Hungary,10.370223,High income: OECD,20.9
Sweden,8.21863,High income: OECD,20.9
Sweden,8.616535,High income: OECD,20.9
Bulgaria,8.434172,Upper middle income,20.9
Turkmenistan,4.395293,Upper middle income,20.9
Hungary,10.482364,High income: OECD,20.96
Czech Republic,10.33393,High income: OECD,21
Denmark,5.31941,High income: OECD,21
Hungary,10.482364,High income: OECD,21
Sweden,8.506236,High income: OECD,21
Czechoslovakia,,,21
Yugoslavia,,,21
Yugoslavia,,,21
Yugoslavia,,,21
Yugoslavia,,,21
Yugoslavia,,,21
Yugoslavia,,,21
Croatia,4.48431,High income: non-OECD,21.1
Australia,16.047026,High income: OECD,21.1
Sweden,8.82672,High income: OECD,21.1
China,1227.841281,Upper middle income,21.1
Czech Republic,10.32844,High income: OECD,21.2
Czech Republic,10.33393,High income: OECD,21.2
Czech Republic,10.297977,High income: OECD,21.2
Poland,37.990683,High income: OECD,21.2
Ukraine,51.36072,Lower middle income,21.2
Bulgaria,8.012946,Upper middle income,21.2
Bulgaria,8.821111,Upper middle income,21.2
China,950.537317,Upper middle income,21.2
Australia,15.318254,High income: OECD,21.3
Germany,80.07594,High income: OECD,21.3
Hungary,10.622559,High income: OECD,21.3
Poland,36.145211,High income: OECD,21.3
Sweden,8.192693,High income: OECD,21.3
Sweden,8.413658,High income: OECD,21.3
Bulgaria,8.54681,Upper middle income,21.3
Bulgaria,8.821111,Upper middle income,21.3
Czech Republic,10.33393,High income: OECD,21.4
Czech Republic,10.338381,High income: OECD,21.4
Hungary,10.650975,High income: OECD,21.4
Hungary,10.704187,High income: OECD,21.4
Hungary,10.409854,High income: OECD,21.4
Poland,37.990683,High income: OECD,21.4
Sweden,8.192693,High income: OECD,21.4
Sweden,8.377863,High income: OECD,21.4
Yugoslavia,,,21.4
Czech Republic,10.33393,High income: OECD,21.5
Denmark,5.232582,High income: OECD,21.5
Finland,4.726803,High income: OECD,21.5
Poland,36.879742,High income: OECD,21.5
Slovenia,1.94587,High income: OECD,21.5
Bulgaria,8.494765,Upper middle income,21.5
Czech Republic,10.335556,High income: OECD,21.6
Denmark,5.118966,High income: OECD,21.6
Denmark,5.211321,High income: OECD,21.6
Denmark,5.254383,High income: OECD,21.6
Germany,80.675999,High income: OECD,21.6
Slovakia,5.277709,High income: OECD,21.6
Belarus,10.216281,Upper middle income,21.6
Finland,5.108176,High income: OECD,21.7
Finland,5.108176,High income: OECD,21.7
Norway,4.199817,High income: OECD,21.7
Finland,5.108176,High income: OECD,21.8
Ukraine,51.36072,Lower middle income,21.8
Bulgaria,8.596962,Upper middle income,21.8
Yugoslavia,,,21.8
Hungary,10.593989,High income: OECD,21.9
Japan,115.912104,High income: OECD,21.9
Slovenia,1.976217,High income: OECD,21.9
Slovenia,1.987855,High income: OECD,21.9
Sweden,8.559107,High income: OECD,21.9
Denmark,5.12281,High income: OECD,22
Denmark,5.129472,High income: OECD,22
Denmark,5.354704,High income: OECD,22
Finland,5.126021,High income: OECD,22
Finland,5.140755,High income: OECD,22
Finland,5.153229,High income: OECD,22
Slovenia,1.988287,High income: OECD,22
Slovenia,1.988304,High income: OECD,22
Bulgaria,8.91866,Upper middle income,22
Yugoslavia,,,22
Yugoslavia,,,22
Yugoslavia,,,22
Denmark,5.113408,High income: OECD,22.1
Denmark,5.232582,High income: OECD,22.1
Finland,5.126021,High income: OECD,22.1
Hungary,10.495442,High income: OECD,22.1
Hungary,10.526561,High income: OECD,22.1
Slovakia,5.244662,High income: OECD,22.1
Slovenia,1.988304,High income: OECD,22.1
Sweden,8.506236,High income: OECD,22.1
Sweden,8.82672,High income: OECD,22.1
Yugoslavia,,,22.1
Croatia,4.493676,High income: non-OECD,22.2
Belgium,10.050405,High income: OECD,22.2
Czech Republic,10.32844,High income: OECD,22.2
Denmark,5.154309,High income: OECD,22.2
Denmark,5.171304,High income: OECD,22.2
Norway,4.164166,High income: OECD,22.2
Slovenia,1.976217,High income: OECD,22.2
Slovenia,1.988077,High income: OECD,22.2
Pakistan,52.205981,Lower middle income,22.2
Bulgaria,8.2014,Upper middle income,22.2
Denmark,5.190631,High income: OECD,22.3
Finland,5.009381,High income: OECD,22.3
Slovenia,1.988166,High income: OECD,22.3
Slovenia,1.988652,High income: OECD,22.3
"Macedonia, former Yugoslav Republic of",1.996227,Upper middle income,22.3
Denmark,5.113767,High income: OECD,22.4
Denmark,5.121511,High income: OECD,22.4
Denmark,5.276683,High income: OECD,22.4
Denmark,5.29868,High income: OECD,22.4
Finland,4.902219,High income: OECD,22.4
Germany,80.675999,High income: OECD,22.4
Norway,4.148355,High income: OECD,22.4
Norway,4.164166,High income: OECD,22.4
Norway,4.181326,High income: OECD,22.4
Egypt,78.976122,Lower middle income,22.4
China,1052.62241,Upper middle income,22.4
Lithuania,3.67395,High income: non-OECD,22.48
Latvia,2.664068,High income: OECD,22.49
Lithuania,3.67395,High income: non-OECD,22.5
Australia,13.364238,High income: OECD,22.5
Belgium,9.893499,High income: OECD,22.5
Denmark,4.960476,High income: OECD,22.5
Denmark,5.116351,High income: OECD,22.5
Hungary,10.409854,High income: OECD,22.5
Latvia,2.664068,High income: OECD,22.5
Norway,4.069626,High income: OECD,22.5
Norway,5.018367,High income: OECD,22.5
Poland,38.297549,High income: OECD,22.5
Slovenia,1.988527,High income: OECD,22.5
Bulgaria,8.078145,Upper middle income,22.5
Czechoslovakia,,,22.5
Denmark,5.140332,High income: OECD,22.6
Denmark,5.338283,High income: OECD,22.6
Hungary,10.417419,High income: OECD,22.6
Hungary,10.363797,High income: OECD,22.6
Norway,4.164166,High income: OECD,22.6
Poland,37.208529,High income: OECD,22.6
Ukraine,51.31408,Lower middle income,22.6
Bulgaria,8.956741,Upper middle income,22.6
Romania,23.255683,Upper middle income,22.6
Czechoslovakia,,,22.6
Australia,8.675029,High income: OECD,22.7
Austria,7.6237,High income: OECD,22.7
Belgium,9.893499,High income: OECD,22.7
Czech Republic,10.330487,High income: OECD,22.7
Denmark,5.124807,High income: OECD,22.7
Denmark,5.338283,High income: OECD,22.7
Finland,5.009381,High income: OECD,22.7
Hungary,10.22342,High income: OECD,22.7
Iceland,0.327318,High income: OECD,22.7
Norway,5.08345,High income: OECD,22.7
Slovakia,5.39671,High income: OECD,22.7
Slovenia,2.042804,High income: OECD,22.7
Sweden,8.559107,High income: OECD,22.7
Romania,23.489361,Upper middle income,22.7
Yugoslavia,,,22.7
Belarus,10.14961,Upper middle income,22.76
Croatia,4.493676,High income: non-OECD,22.78
Denmark,5.31941,High income: OECD,22.8
Finland,5.034898,High income: OECD,22.8
Slovenia,2.00652,High income: OECD,22.8
Ukraine,51.50148,Lower middle income,22.8
Belarus,10.14961,Upper middle income,22.8
Yugoslavia,,,22.8
Australia,13.55219,High income: OECD,22.9
Finland,4.986705,High income: OECD,22.9
Hungary,10.345553,High income: OECD,22.9
Norway,4.953945,High income: OECD,22.9
Slovenia,1.988077,High income: OECD,22.9
Sweden,8.677787,High income: OECD,22.9
Sweden,8.677787,High income: OECD,22.9
Moldova,4.026204,Lower middle income,22.9
Belarus,10.18408,Upper middle income,22.9
Bulgaria,8.310226,Upper middle income,22.9
Romania,23.489361,Upper middle income,22.9
Romania,23.255683,Upper middle income,22.9
Estonia,1.569187,High income: OECD,22.97
Australia,9.029064,High income: OECD,23
Belgium,10.050405,High income: OECD,23
Czech Republic,10.339439,High income: OECD,23
Czech Republic,10.326682,High income: OECD,23
Denmark,5.398645,High income: OECD,23
Estonia,1.569187,High income: OECD,23
Poland,37.867481,High income: OECD,23
Poland,37.867481,High income: OECD,23
Slovenia,2.017452,High income: OECD,23
Spain,39.878881,High income: OECD,23
Sweden,8.616535,High income: OECD,23
Sweden,8.677787,High income: OECD,23
Sweden,8.982282,High income: OECD,23
China,1114.162025,Upper middle income,23
China,1135.128009,Upper middle income,23
China,1154.605773,Upper middle income,23
Yugoslavia,,,23
Yugoslavia,,,23
Yugoslavia,,,23
Yugoslavia,,,23
Australia,,High income: OECD,23.1
Czech Republic,10.26301,High income: OECD,23.1
Finland,5.086499,High income: OECD,23.1
Hungary,10.363797,High income: OECD,23.1
Netherlands,15.806771,High income: OECD,23.1
Norway,4.262367,High income: OECD,23.1
Poland,32.816751,High income: OECD,23.1
Poland,35.782855,High income: OECD,23.1
Slovenia,1.990924,High income: OECD,23.1
Belgium,9.931873,High income: OECD,23.2
Czech Republic,10.33393,High income: OECD,23.2
Czech Republic,10.280525,High income: OECD,23.2
Denmark,5.417692,High income: OECD,23.2
Poland,33.328713,High income: OECD,23.2
Slovenia,2.00652,High income: OECD,23.2
Slovenia,1.988527,High income: OECD,23.2
Slovenia,2.017452,High income: OECD,23.2
China,1005.328574,Upper middle income,23.2
Finland,4.800899,High income: OECD,23.3
Germany,81.895925,High income: OECD,23.3
Hungary,9.825,High income: OECD,23.3
Norway,4.240375,High income: OECD,23.3
Norway,4.262367,High income: OECD,23.3
Poland,37.486105,High income: OECD,23.3
Slovakia,5.29808,High income: OECD,23.3
Ukraine,51.42296,Lower middle income,23.3
Belarus,10.231983,Upper middle income,23.3
Bulgaria,8.878348,Upper middle income,23.3
China,1114.162025,Upper middle income,23.3
Romania,23.472562,Upper middle income,23.3
Ukraine,51.42296,Lower middle income,23.31
Romania,23.472562,Upper middle income,23.31
Australia,9.90022,High income: OECD,23.4
Australia,16.314778,High income: OECD,23.4
Belgium,9.931873,High income: OECD,23.4
Czech Republic,10.225198,High income: OECD,23.4
Hungary,10.361134,High income: OECD,23.4
Israel,1.262294,High income: OECD,23.4
Norway,4.107655,High income: OECD,23.4
Norway,4.164166,High income: OECD,23.4
Slovenia,2.030599,High income: OECD,23.4
Spain,39.878881,High income: OECD,23.4
Sweden,8.982282,High income: OECD,23.4
Sweden,9.030163,High income: OECD,23.4
Sweden,9.153316,High income: OECD,23.4
United Kingdom,56.224944,High income: OECD,23.4
United Kingdom,56.223974,High income: OECD,23.4
Ukraine,51.31408,Lower middle income,23.4
Belarus,9.712761,Upper middle income,23.4
Belarus,10.18408,Upper middle income,23.4
Bulgaria,8.960387,Upper middle income,23.4
China,977.837433,Upper middle income,23.4
Bulgaria,8.878348,Upper middle income,23.43
Russia,147.568552,High income: non-OECD,23.5
Australia,,High income: OECD,23.5
Australia,8.85913,High income: OECD,23.5
Australia,9.239138,High income: OECD,23.5
Czech Republic,10.212088,High income: OECD,23.5
Finland,5.140755,High income: OECD,23.5
Luxembourg,0.402431,High income: OECD,23.5
Netherlands,13.827329,High income: OECD,23.5
Norway,5.14797,High income: OECD,23.5
Slovenia,1.987855,High income: OECD,23.5
Spain,39.878881,High income: OECD,23.5
Ukraine,51.50148,Lower middle income,23.5
Belarus,10.005259,Upper middle income,23.5
Bulgaria,8.954518,Upper middle income,23.5
"Macedonia, former Yugoslav Republic of",1.977033,Upper middle income,23.5
Australia,,High income: OECD,23.6
Australia,9.456325,High income: OECD,23.6
Finland,5.061465,High income: OECD,23.6
Germany,81.870772,High income: OECD,23.6
Hungary,10.30281,High income: OECD,23.6
Hungary,10.417419,High income: OECD,23.6
Iceland,0.32103,High income: OECD,23.6
Iceland,,High income: OECD,23.6
Luxembourg,0.366884,High income: OECD,23.6
Netherlands,14.634787,High income: OECD,23.6
New Zealand,3.752102,High income: OECD,23.6
Norway,4.891251,High income: OECD,23.6
Slovenia,1.94587,High income: OECD,23.6
Slovenia,2.030599,High income: OECD,23.6
Ukraine,50.23568,Lower middle income,23.6
Lithuania,3.619593,High income: non-OECD,23.7
Australia,,High income: OECD,23.7
Belgium,10.050405,High income: OECD,23.7
Czech Republic,10.244261,High income: OECD,23.7
Denmark,5.440696,High income: OECD,23.7
Norway,4.716584,High income: OECD,23.7
Slovakia,5.372115,High income: OECD,23.7
Slovakia,5.39671,High income: OECD,23.7
Slovakia,,High income: OECD,23.7
Slovenia,2.005566,High income: OECD,23.7
Slovenia,2.062881,High income: OECD,23.7
United Kingdom,56.212943,High income: OECD,23.7
China,964.155176,Upper middle income,23.7
Romania,23.472562,Upper middle income,23.7
Slovenia,2.030599,High income: OECD,23.72
Russia,146.8657,High income: non-OECD,23.8
Russia,146.8657,High income: non-OECD,23.8
Denmark,5.523755,High income: OECD,23.8
Finland,5.108176,High income: OECD,23.8
Luxembourg,0.366884,High income: OECD,23.8
Norway,4.262367,High income: OECD,23.8
Slovenia,1.996522,High income: OECD,23.8
Slovenia,2.05248,High income: OECD,23.8
Slovenia,2.059023,High income: OECD,23.8
Sweden,8.84942,High income: OECD,23.8
United Kingdom,56.179925,High income: OECD,23.8
Pakistan,125.697651,Lower middle income,23.8
Belarus,10.18408,Upper middle income,23.8
Belarus,9.640616,Upper middle income,23.8
Czech Republic,9.57465,High income: OECD,23.9
Czech Republic,10.313836,High income: OECD,23.9
Denmark,5.171304,High income: OECD,23.9
Denmark,5.398645,High income: OECD,23.9
Denmark,5.417692,High income: OECD,23.9
Denmark,5.440696,High income: OECD,23.9
Finland,4.726803,High income: OECD,23.9
Germany,75.553512,High income: OECD,23.9
Hungary,10.363797,High income: OECD,23.9
Luxembourg,0.386355,High income: OECD,23.9
Norway,4.199817,High income: OECD,23.9
Norway,,High income: OECD,23.9
Poland,38.297549,High income: OECD,23.9
Poland,38.396826,High income: OECD,23.9
Sweden,9.030163,High income: OECD,23.9
Indonesia,214.448301,Lower middle income,23.9
Pakistan,58.094239,Lower middle income,23.9
China,991.553829,Upper middle income,23.9
Czechoslovakia,,,23.9
Yugoslavia,,,23.9
Australia,9.684162,High income: OECD,24
Austria,8.023166,High income: OECD,24
Austria,8.050884,High income: OECD,24
Austria,8.078877,High income: OECD,24
Denmark,5.171304,High income: OECD,24
Estonia,1.56532,High income: OECD,24
Finland,5.16478,High income: OECD,24
Finland,5.176482,High income: OECD,24
Finland,5.188446,High income: OECD,24
Germany,81.206786,High income: OECD,24
Germany,81.96583,High income: OECD,24
Germany,81.809438,High income: OECD,24
Iceland,0.323407,High income: OECD,24
Iceland,0.325392,High income: OECD,24
Latvia,2.663985,High income: OECD,24
Norway,4.285504,High income: OECD,24
Poland,33.59781,High income: OECD,24
Slovenia,1.988077,High income: OECD,24
Sweden,8.294832,High income: OECD,24
Sweden,8.7375,High income: OECD,24
Sweden,9.087251,High income: OECD,24
Sweden,9.226333,High income: OECD,24
Egypt,82.040994,Lower middle income,24
Indonesia,208.644079,Lower middle income,24
Pakistan,98.301647,Lower middle income,24
Ukraine,51.370009,Lower middle income,24
Bulgaria,7.805041,Upper middle income,24
China,1172.327831,Upper middle income,24
Yugoslavia,,,24
Yugoslavia,,,24
Ukraine,45.002497,Lower middle income,24.09
Australia,11.435046,High income: OECD,24.1
Denmark,5.466988,High income: OECD,24.1
Germany,82.010184,High income: OECD,24.1
Hungary,10.014633,High income: OECD,24.1
Iceland,0.293084,High income: OECD,24.1
Norway,4.830371,High income: OECD,24.1
Slovenia,2.005566,High income: OECD,24.1
Slovenia,2.017452,High income: OECD,24.1
Sweden,9.382297,High income: OECD,24.1
Indonesia,211.540428,Lower middle income,24.1
Moldova,4.289659,Lower middle income,24.1
Moldova,4.289659,Lower middle income,24.14
Russia,147.3517,High income: non-OECD,24.2
Australia,11.660398,High income: OECD,24.2
Australia,16.849253,High income: OECD,24.2
Czech Republic,10.271476,High income: OECD,24.2
Denmark,5.495302,High income: OECD,24.2
Germany,81.6129,High income: OECD,24.2
Hungary,10.351994,High income: OECD,24.2
Netherlands,14.471591,High income: OECD,24.2
Norway,4.359788,High income: OECD,24.2
Poland,35.100942,High income: OECD,24.2
Poland,37.703942,High income: OECD,24.2
Poland,38.297549,High income: OECD,24.2
Slovakia,5.387734,High income: OECD,24.2
Slovakia,5.391728,High income: OECD,24.2
Slovakia,5.419288,High income: OECD,24.2
Slovenia,1.996522,High income: OECD,24.2
Sweden,8.861204,High income: OECD,24.2
United Kingdom,53.272267,High income: OECD,24.2
Ukraine,49.23352,Lower middle income,24.2
Belarus,10.14961,Upper middle income,24.2
Australia,10.106834,High income: OECD,24.3
Austria,7.625724,High income: OECD,24.3
Germany,81.993831,High income: OECD,24.3
Norway,4.359788,High income: OECD,24.3
Slovenia,1.988166,High income: OECD,24.3
Slovenia,1.988304,High income: OECD,24.3
Sweden,8.616535,High income: OECD,24.3
Sweden,8.872284,High income: OECD,24.3
Kyrgyzstan,3.690194,Lower middle income,24.3
Bulgaria,8.274662,Upper middle income,24.3
"Macedonia, former Yugoslav Republic of",2.038444,Upper middle income,24.3
Romania,23.454143,Upper middle income,24.3
Yugoslavia,,,24.3
Yugoslavia,,,24.3
Bulgaria,8.451626,Upper middle income,24.32
Slovenia,2.017452,High income: OECD,24.37
Lithuania,3.462341,High income: non-OECD,24.4
Lithuania,3.67395,High income: non-OECD,24.4
Germany,77.990369,High income: OECD,24.4
Hungary,10.30281,High income: OECD,24.4
Hungary,10.482364,High income: OECD,24.4
Iceland,0.318042,High income: OECD,24.4
Latvia,2.667309,High income: OECD,24.4
Norway,4.219532,High income: OECD,24.4
Poland,34.468877,High income: OECD,24.4
Slovenia,1.988287,High income: OECD,24.4
Slovenia,2.064819,High income: OECD,24.4
Spain,39.032625,High income: OECD,24.4
Sweden,8.506236,High income: OECD,24.4
Sweden,9.462352,High income: OECD,24.4
United Kingdom,55.193557,High income: OECD,24.4
Ukraine,51.50148,Lower middle income,24.4
Belarus,10.126941,Upper middle income,24.4
Bulgaria,8.891245,Upper middle income,24.4
Slovenia,2.005566,High income: OECD,24.48
Australia,11.880264,High income: OECD,24.5
Finland,5.126021,High income: OECD,24.5
Netherlands,14.181967,High income: OECD,24.5
Norway,4.164166,High income: OECD,24.5
Norway,4.309606,High income: OECD,24.5
Norway,4.716584,High income: OECD,24.5
Norway,4.830371,High income: OECD,24.5
Slovakia,5.31748,High income: OECD,24.5
Slovakia,5.391728,High income: OECD,24.5
Slovenia,1.996522,High income: OECD,24.5
Slovenia,2.059023,High income: OECD,24.5
Slovenia,,High income: OECD,24.5
United Kingdom,56.122405,High income: OECD,24.5
Pakistan,56.559367,Lower middle income,24.5
Belarus,9.891535,Upper middle income,24.5
Bulgaria,8.821111,Upper middle income,24.5
Mongolia,2.335694,Upper middle income,24.5
Czechoslovakia,,,24.5
Soviet Union,,,24.5
Ukraine,45.47769,Lower middle income,24.55
Ukraine,45.165211,Lower middle income,24.55
Croatia,4.532298,High income: non-OECD,24.6
Czech Republic,10.211846,High income: OECD,24.6
Czech Republic,10.545314,High income: OECD,24.6
Denmark,5.466988,High income: OECD,24.6
Finland,5.153229,High income: OECD,24.6
Hungary,10.334876,High income: OECD,24.6
Iceland,0.318042,High income: OECD,24.6
Poland,36.879742,High income: OECD,24.6
Poland,37.990683,High income: OECD,24.6
Slovakia,5.391728,High income: OECD,24.6
Slovenia,1.995615,High income: OECD,24.6
Slovenia,1.988652,High income: OECD,24.6
Slovenia,1.990924,High income: OECD,24.6
Slovenia,2.05248,High income: OECD,24.6
Sweden,8.559107,High income: OECD,24.6
United Kingdom,54.329874,High income: OECD,24.6
United Kingdom,54.93865,High income: OECD,24.6
Pakistan,116.579605,Lower middle income,24.6
Ukraine,46.5103,Lower middle income,24.6
Belarus,9.825802,Upper middle income,24.6
Bulgaria,7.651254,Upper middle income,24.6
Bulgaria,7.867374,Upper middle income,24.6
China,1019.698475,Upper middle income,24.6
Czechoslovakia,,,24.6
Czechoslovakia,,,24.6
Yugoslavia,,,24.6
Slovenia,1.996522,High income: OECD,24.63
Australia,10.327479,High income: OECD,24.7
Australia,10.561457,High income: OECD,24.7
Australia,12.101641,High income: OECD,24.7
Australia,12.335469,High income: OECD,24.7
Czech Republic,10.397984,High income: OECD,24.7
Finland,5.176482,High income: OECD,24.7
Hungary,10.034951,High income: OECD,24.7
Latvia,2.645056,High income: OECD,24.7
Luxembourg,0.368662,High income: OECD,24.7
Norway,4.219532,High income: OECD,24.7
Poland,38.396826,High income: OECD,24.7
Poland,38.396826,High income: OECD,24.7
Slovenia,2.042804,High income: OECD,24.7
Belarus,9.952055,Upper middle income,24.7
Bulgaria,8.916713,Upper middle income,24.7
China,991.553829,Upper middle income,24.73
Slovakia,5.391728,High income: OECD,24.74
